subject_id,predicate,object_id
pers_karsen,former_holder_of,off_ops_wolfstream_cellarer
org_cliffborough,current_member_of,org_stonehome
org_glimmerwell,current_member_of,org_stonehome
org_stonehome_squad_zanlen,current_member_of,org_stonehome
org_stonehome_squad_ylola,current_member_of,org_stonehome
off_lead_stonehome,leader_of,org_stonehome
off_lead_cliffborough,leader_of,org_cliffborough
off_lead_glimmerwell,leader_of,org_glimmerwell
off_lead_stonehome_squad_zanlen,leader_of,org_stonehome_squad_zanlen
off_lead_stonehome_squad_ylola,leader_of,org_stonehome_squad_ylola
pers_beni,former_holder_of,off_lead_stonehome
pers_lannji,holds_office,off_lead_stonehome
pers_getkleblish,holds_office,off_lead_cliffborough
pers_emlin,holds_office,off_lead_glimmerwell
pers_zanlen,holds_office,off_lead_stonehome_squad_zanlen
pers_ylola,holds_office,off_lead_stonehome_squad_ylola
pers_kendel,current_member_of,role_ops_cliffborough_hermit
role_ops_cliffborough_hermit,current_member_of,org_cliffborough
pers_javan,holds_office,off_lead_druwen
pers_edda,holds_office,off_ops_druwen_field_marshal
org_druwen,located_in,loc_druwen
loc_brechin,located_in,loc_druwen
pers_edda,sibling_with,pers_javan
org_hands_squad_ronric,current_member_of,org_hands
org_hands_squad_vyssa,current_member_of,org_hands
org_hands_squad_todd,current_member_of,org_hands
off_lead_hands_squad_ronric,leader_of,org_hands_squad_ronric
off_lead_hands_squad_vyssa,leader_of,org_hands_squad_vyssa
off_lead_hands_squad_todd,leader_of,org_hands_squad_todd
pers_ronric,holds_office,off_lead_hands_squad_ronric
pers_vyssa,holds_office,off_lead_hands_squad_vyssa
pers_todd,holds_office,off_lead_hands_squad_todd
pers_kaedra,current_member_of,org_thieves
pers_piers,parent_of,pers_emily
off_lead_hands,leader_of,org_hands
pers_gina,holds_office,off_lead_hands
org_temple_airmid,holds_assets_from,org_academy_elysia
org_temple_airmid,attempted_exorcism_on,pers_victor
role_adm_academy_professor,former_member_of,org_academy_elysia
role_adm_academy_student,former_member_of,org_academy_elysia
pers_victor,former_member_of,role_adm_academy_professor
pers_vyssa,former_member_of,role_adm_academy_student
org_michaeline,current_member_of,org_tolan
org_tolan_healers,current_member_of,org_tolan
factn_tolan_breakaway,current_member_of,org_tolan
off_lead_michaeline_joram,leader_of,org_michaeline
off_lead_tolan_healers,leader_of,org_tolan_healers
pers_joram,holds_office,off_lead_michaeline_joram
pers_rhys,holds_office,off_lead_tolan_healers
off_lead_tolan_healers,reports_to,off_lead_temple_airmid
org_michaeline,allied_with,org_remedy
org_tolan_healers,allied_with,org_temple_airmid
pers_evaine,current_member_of,org_tolan
pers_joram,current_member_of,org_michaeline
pers_rhys,current_member_of,org_tolan_healers
pers_avarna,current_member_of,factn_tolan_breakaway
role_arc_tolan_healer,current_member_of,org_tolan_healers
pers_rhys,current_member_of,role_arc_tolan_healer
role_adm_tolan_scholar,current_member_of,org_tolan
pers_evaine,current_member_of,role_adm_tolan_scholar
pers_evaine,sibling_with,pers_joram
pers_evaine,married_with,pers_rhys
off_lead_wolf,leader_of,factn_wolf_clan
pers_thalia,holds_office,off_lead_wolf
pers_thalia,current_member_of,org_ravencrest
pers_braydon,former_member_of,factn_wolf_clan
pers_nolan,former_member_of,factn_wolf_clan
pers_roland,current_member_of,factn_wolf_clan
pers_towne,current_member_of,factn_wolf_clan
factn_wolf_clan,operates_in,loc_sadies_leatherworking
factn_wolf_clan,operates_in,loc_silversmith_killeth
factn_wolf_clan,operates_in,loc_thurway
factn_wolf_clan,operates_in,loc_killeth
