subject_id,predicate,object_id,subject_type,object_type,pair_type,symmetric,relationship_class
person_dakgorim,leader_of,faction_burzath,person,faction,person|faction,False,leadership
person_gina,leader_of,faction_hands,person,faction,person|faction,False,leadership
person_joram,leader_of,faction_michaeline,person,faction,person|faction,False,leadership
person_warhammer,leader_of,org_orcs,person,org,person|org,False,leadership
person_ricardo,military_leader_of,faction_remedy,person,faction,person|faction,False,leadership
faction_burzath,neighbor_with,faction_ilguz,faction,faction,faction|faction,True,geopolitical
faction_burzath,neighbor_with,faction_krach-ul,faction,faction,faction|faction,True,geopolitical
faction_halverin,neighbor_with,faction_remedy,faction,faction,faction|faction,True,geopolitical
faction_hands,neighbor_with,faction_remedy,faction,faction,faction|faction,True,geopolitical
faction_ilguz,neighbor_with,faction_krach-ul,faction,faction,faction|faction,True,geopolitical
org_ravencrest,operates_at,place_killeth,org,place,org|place,False,location
org_ravencrest,operates_at,place_thurway,org,place,org|place,False,location
faction_hands,opposes,org_king,faction,org,faction|org,True,political
faction_remedy,opposes,org_king,faction,org,faction|org,True,political
faction_spencer,opposes,org_king,faction,org,faction|org,True,political
faction_tolanites,opposes,org_king,faction,org,faction|org,True,political
person_henry,opposes,faction_spencer,person,faction,person|faction,True,political
person_mowser,opposes,faction_foreclaimers,person,faction,person|faction,True,political
person_newberry,opposes,faction_jackals,person,faction,person|faction,True,political
person_shworn,opposes,faction_spencer,person,faction,person|faction,True,political
faction_hands,patrols_to,place_blackwood,faction,place,faction|place,False,activity
faction_jackals,reports_to,org_king,faction,org,faction|org,False,organizational
faction_sleepsong,reports_to,org_king,faction,org,faction|org,False,organizational
org_party,rescued,place_blackburn,org,place,org|place,False,event
org_party,rescued,place_brightfields,org,place,org|place,False,event
org_party,rescued,place_guldrur,org,place,org|place,False,event
person_makhala,spiritual_leader_of,faction_remedy,person,faction,person|faction,False,leadership
person_credus,target_of,faction_modrons,person,faction,person|faction,False,event
person_henry,target_of,org_ravencrest,person,org,person|org,False,event
person_alivyre,tortured_by,faction_jackals,person,faction,person|faction,False,event
